EVID,NTSB_NO,Month,Date,Year,Time,City,State,Long,Lat,Sky Condition,Highest Injury,Number of Injuries,Aircraft
20080107X00026,SEA08LA057,1,1,2008,2230,Sonoma,CA,381326N,1222659W,CLER,NONE,3,PA 28-180
20080107X00027,DFW08LA055,1,3,2008,825,Oklahoma City,OK,035321N,0973829W,CLER,FATL,9,PC-12/45
20080109X00036,DFW08CA054,1,1,2008,2200,Arcola,TX,293022N,0952836W,CLER,NONE,1,MAC-145B
20080114X00044,MIA08LA036,1,6,2008,1510,Miami,FL,253726N,0803426W,CLER,NONE,2,PA-28-161
20080115X00046,MIA08LA034,1,3,2008,2045,Stevensville,MD,385821N,0761928W,SCAT,NONE,1,P2002 Sierra
20080115X00047,MIA08LA035,1,5,2008,2045,Spotsylvania,VA,038128N,0773515W,CLER,MINR,1,R172K
20080115X00051,DEN08CA047,1,2,2008,2230,Loveland,CO,040276N,0010504W,CLER,NONE,1,152
20080115X00052,DEN08LA049,1,12,2008,2200,Pine Bluffs,WY,041912N,0104749W,SCAT,NONE,2,172M
20080116X00062,CHI08FA061,1,12,2008,1739,Port Clinton,OH,413138N,0825212W,SCAT,FATL,4,340
20080116X00063,ANC08MA038,1,5,2008,1743,Kodiak,AK,057452N,0152287W,FEW,FATL,10,PA-31-350
20080117X00067,SEA08FA062,1,14,2008,1508,Lihue,HI,021512N,1591927W,SCAT,FATL,1,1900C
20080117X00068,SEA08LA058,1,10,2008,2215,Perris,CA,033535N,0117158W,CLER,FATL,1,MK-5
20080117X00069,SEA08LA063,1,13,2008,2334,Centerville,WA,454259N,0120594W,CLER,MINR,2,PA-12
20080118X00073,SEA08LA061,1,14,2008,329,San Francisco,CA,037378N,1222229W,CLER,NONE,61,CL-600-2C10
20080118X00074,ANC08LA031,1,15,2008,1839,Bethel,AK,604647N,1615017W,SCAT,MINR,5,208B
20080118X00075,ANC08LA032,1,16,2008,1615,Aniak,AK,613454N,1593230W,-1,SERS,1,207
20080122X00082,CHI08LA067,1,12,2008,1838,Garrison,MN,461917N,0935025W,-1,SERS,1,RV8
20080122X00085,CHI08FA066,1,17,2008,22,Cleveland,OH,041313N,0081410W,-1,FATL,1,58
20080122X00087,NYC08LA077,1,7,2008,2345,DeLand,FL,028594N,0811758W,FEW,NONE,2,407
20080123X00090,MIA08FA038,1,12,2008,2038,Clearwater,FL,275447N,0824029W,FEW,FATL,3,172L
20080123X00091,MIA08LA041,1,17,2008,1911,Norwood,MA,421138N,0711040W,CLER,NONE,1,AA-5B
20080123X00096,NYC08LA075,1,5,2008,2115,Laurel,MD,039436N,0764940W,CLER,MINR,1,GENESIS
20080123X00098,LAX08FA047,1,18,2008,2200,Selma,CA,363354N,1194326W,CLER,FATL,1,V35B
20080125X00103,CHI08LA071,1,9,2008,1249,Detroit,MI,421245N,0832112W,-1,NONE,73,A319-114
20080128X00108,MIA08FA044,1,22,2008,1734,Ochopee,FL,255141N,0805250W,-1,FATL,2,R44
20080128X00111,DFW08FA057,1,18,2008,1830,San Antonio,TX,292047N,0981740W,CLER,FATL,1,PA46-500TP
20080129X00115,DEN08LA053,1,26,2008,1930,Valley Center,KS,374957N,0972212W,CLER,SERS,1,Flite Bike
20080129X00116,DEN08LA054,1,24,2008,2320,Rock Springs,WY,415649N,0108586W,CLER,NONE,2,Titan Tornado 912
20080129X00117,CHI08CA063,1,12,2008,2027,Newark,OH,040148N,0822743W,CLER,NONE,2,Newbold 2000
20080129X00119,DFW08FA056,1,17,2008,443,Tulsa,OK,361333N,0955322W,-1,FATL,1,500B
20080130X00124,LAX08FA049,1,20,2008,2334,Corona,CA,335256N,0117373W,CLER,FATL,5,172N
20080131X00125,MIA08LA043,1,20,2008,2130,Kissimmee,FL,281714N,0081268W,CLER,NONE,3,U206F
20080201X00130,LAX08FA052,1,26,2008,657,Los Angeles,CA,335645N,1181647W,CLER,FATL,1,R22 BETA
20080204X00131,SEA08CA065,1,8,2008,2105,Riverside,CA,335118N,1172543W,-1,NONE,2,R-22
20080205X00136,DFW08LA058,1,28,2008,1315,Wiggins,MS,304831N,0891129W,CLER,NONE,1,PA32-301FT
20080206X00142,DFW08FA060,2,2,2008,2313,Lindsay,OK,345126N,0973511W,CLER,FATL,2,SR22
20080207X00148,MIA08LA048,1,29,2008,2223,Marathon,FL,245229N,0811348W,CLER,SERS,2,G-21A
20080207X00150,MIA08FA052,2,3,2008,2117,Elkin,NC,361652N,0804649W,CLER,FATL,1,RV-4
20080207X00153,SEA08CA059,1,13,2008,15,La Verna,CA,035529N,1174654W,CLER,NONE,2,206 B2
20080208X00159,LAX08LA050,1,19,2008,1700,Green Valley,AZ,315626N,0111454W,CLER,FATL,2,Clipper
20080210X00160,NYC08LA087,1,27,2008,2230,McCullough,AL,031100N,0873130W,CLER,FATL,1,Free Bird Sportlite
20080210X00161,NYC08LA086,1,25,2008,1610,York,SC,035155N,0811510W,CLER,MINR,2,PA-28-R200
20080210X00162,NYC08LA078,1,8,2008,2123,North Palm Bch,FL,264954N,0080218W,FEW,SERS,1,R22 Beta
20080210X00166,NYC08CA074,1,2,2008,1645,Brunswick,GA,003196N,0812328W,CLER,NONE,3,A36
20080211X00167,SEA08LA068,2,2,2008,2030,Mukilteo,WA,475353N,1221710W,FEW,SERS,1,17-30A
20080211X00168,SEA08LA069,2,4,2008,1830,Parowan,UT,375135N,1124858W,OVCT,NONE,1,PA-32R-301T
20080211X00169,NYC08MA090,2,1,2008,1628,Mount Airy,NC,362748N,0080333W,-1,FATL,6,C90A
20080211X00171,SEA08LA070,2,2,2008,1800,Maricopa,CA,345721N,1192648W,-1,FATL,1,HARMON ROC
20080211X00172,MIA08MA051,2,1,2008,2248,West Gardiner,ME,441415N,0069516W,UNK,FATL,2,525
20080211X00173,LAX08LA056,2,1,2008,1916,Murrieta,CA,333445N,0011770W,FEW,NONE,1,Zodiac 601XL
20080211X00174,LAX08LA055,2,1,2008,1630,Palo Alto,CA,037270N,0012260W,SCAT,NONE,1,152
20080212X00177,SEA08LA072,2,8,2008,1818,Albany,OR,444115N,0123040W,SCAT,FATL,3,Lancair ES
20080213X00179,SEA08LA060,1,14,2008,120,Santa Monica,CA,034057N,0118274W,CLER,NONE,3,Jabiru J400
20080213X00180,SEA08LA064,1,12,2008,215,Placerville,CA,384327N,1204512W,CLER,NONE,1,PA-24-250
20080213X00181,SEA08FA071,2,8,2008,35,Hilo,HI,194241N,0155855W,SCAT,MINR,5,369E
20080213X00184,DFW08LA065,2,8,2008,227,San Antonio,TX,029321N,0098287W,CLER,NONE,2,TR182
20080213X00185,DFW08TA066,2,8,2008,1715,Valentine,TX,030359N,1042926W,CLER,MINR,1,OH-6
20080213X00186,DFW08LA068,2,10,2008,1739,Spring,TX,030257N,0095334W,CLER,SERS,1,PA-28-235
20080214X00188,MIA08CA047,1,28,2008,1615,Dawson,GA,314435N,0084259W,CLER,NONE,1,150J
20080214X00194,CHI08CA060,1,4,2008,2045,Whitmore Lake,MI,422235N,0834734W,-1,NONE,2,7AC
20080214X00195,CHI08CA072,1,27,2008,2030,Boswell,IN,403233N,0872515W,-1,NONE,1,MK-IV
20080215X00202,NYC08CA083,1,15,2008,1715,Fenner,NY,425952N,0754713W,SCAT,MINR,4,R44 II
20080219X00203,NYC08CA079,1,10,2008,44,Sarasota,FL,271535N,0821715W,CLER,NONE,2,150G
20080219X00204,NYC08CA080,1,11,2008,1800,Labelle,FL,264644N,0812556W,-1,NONE,1,C-152
20080219X00205,DFW08FA061,2,5,2008,45,Baytown,TX,294524N,0945042W,-1,FATL,1,210
20080219X00209,LAX08FA058,2,2,2008,2140,Cabazon,CA,003401N,1164644W,-1,FATL,4,340A
20080219X00210,SEA08LA073,2,9,2008,426,Piru,CA,342546N,0118452W,CLER,MINR,3,PA-44-180
20080220X00211,SEA08CA077,2,8,2008,345,Mesa,AZ,331828N,1113919W,CLER,NONE,2,172SP
20080220X00212,LAX08CA044,1,7,2008,1915,Exeter,CA,361419N,0119835W,CLER,NONE,2,7GCBC
20080220X00213,LAX08CA048,1,19,2008,2100,Vacaville,CA,382240N,1215742W,CLER,MINR,2,Glastar
20080220X00214,DEN08LA055,2,3,2008,1359,Denver,CO,395142N,1044023W,FEW,SERS,22,DHC-8-202
20080220X00215,DEN08FA058,2,13,2008,1855,Sterling,KS,038858N,0981913W,CLER,FATL,1,PA-23-250
20080220X00216,DEN08FA059,2,17,2008,45,Benton,KS,374715N,0097732W,OVCT,FATL,2,414A
20080220X00218,DEN08CA051,1,17,2008,2300,Taos,NM,362729N,1054020W,-1,NONE,4,PA-32-301XTC
20080220X00220,CHI08LA070,1,23,2008,1615,Cahokia,IL,383414N,0090922W,CLER,NONE,1,58
20080220X00221,DEN08LA057,2,12,2008,2205,Englewood,CO,393412N,1045057W,FEW,NONE,2,A45
20080221X00222,LAX08LA059,2,16,2008,2050,Stanwood,WA,481342N,1222156W,SCAT,FATL,2,RV-6A
20080221X00223,LAX08LA063,2,18,2008,38,Nevada City,CA,391644N,1205859W,CLER,FATL,1,RV-7
20080222X00227,DFW08FA062,2,6,2008,254,S. Padre Island,TX,026820N,0971225W,SCAT,FATL,3,AS350B2
20080222X00228,SEA08FA078,2,16,2008,1628,Portland,OR,045352N,0122375W,-1,FATL,1,LC41
20080222X00230,CHI08CA062,1,6,2008,2240,Valparaiso,IN,412712N,0087026W,CLER,MINR,2,RAF2000
20080222X00231,CHI08CA081,2,13,2008,215,Cahokia,IL,383414N,0090922W,-1,NONE,2,425
20080222X00232,CHI08LA080,2,8,2008,1909,Grand Meadow,MN,434011N,0923618W,-1,FATL,1,140
20080225X00233,LAX08CA051,1,20,2008,20,Brigham City,UT,041338N,0112344W,-1,NONE,1,8E
20080225X00234,SEA08CA075,2,9,2008,2100,Logan,UT,414728N,0111515W,FEW,NONE,2,140
20080226X00235,LAX08CA057,2,3,2008,200,Bullhead City,AZ,035926N,1143334W,CLER,NONE,2,R44 II
20080226X00236,LAX08CA054,1,30,2008,445,Brawley,CA,033210N,1153110W,CLER,NONE,1,OH-58A
20080227X00239,DFW08CA069,2,10,2008,15,Shallowater,TX,334454N,0010241W,FEW,NONE,1,J3C-65
20080228X00244,DFW08CA070,2,3,2008,2130,Jenks,OK,036222N,0095594W,CLER,NONE,1,172S
20080228X00245,SEA08LA082,2,22,2008,1445,Kayenta,AZ,362818N,0110254W,-1,SERS,20,1900D
20080228X00246,SEA08LA079,2,10,2008,145,Carefree,AZ,033495N,1115352W,CLER,NONE,1,P210N
20080229X00247,LAX08LA064,2,23,2008,2240,Willcox,AZ,321443N,1095340W,CLER,MINR,2,210
20080229X00248,LAX08CA053,1,25,2008,2300,Beaver Marsh,OR,043744N,0121494W,CLER,MINR,3,172N
20080229X00253,LAX08LA066,2,26,2008,2115,Murrieta,CA,036658N,1194052W,FEW,SERS,4,Lancair IV-P
20080304X00255,DEN08CA056,2,9,2008,1735,Alamogordo,NM,325014N,1055916W,-1,NONE,2,G-103A TWIN II ACRO
20080304X00257,MIA08LA066,2,27,2008,641,Tampa,FL,275832N,0823159W,SCAT,NONE,1,210L
20080304X00258,MIA08CA068,1,26,2008,1800,Westiminster,MD,393414N,0007702W,-1,NONE,1,172S
20080304X00260,MIA08CA065,2,15,2008,1457,Covington,KY,039234N,0844024W,CLER,SERS,53,EMB-145LR
20080304X00261,MIA08CA039,1,12,2008,2000,Lapine,AL,315817N,0861723W,CLER,NONE,1,PA-32-300
20080305X00264,NYC08CA092,2,3,2008,1330,Fruitland Park,FL,285241N,0815627W,CLER,MINR,1,Series 5 Kitfox
20080305X00265,MIA08FA070,3,1,2008,1236,Titusville,FL,283712N,0080505W,CLER,FATL,4,RV-8
20080305X00266,MIA08CA056,2,15,2008,1620,Orlando,FL,282617N,0811853W,FEW,NONE,1,172S
20080305X00268,NYC08CA088,1,30,2008,515,Charlotte,NC,351250N,0805635W,SCAT,NONE,2,35A
20080305X00269,DFW08CA063,1,28,2008,2230,Picayune,MS,302914N,0089394W,CLER,NONE,1,177
20080305X00271,LAX08FA068,2,28,2008,607,Riverside,CA,335641N,1172648W,CLER,FATL,3,M20C
20080305X00272,SEA08LA084,3,3,2008,20,Mammoth,CA,373732N,1185027W,CLER,SERS,2,B36TC
20080306X00273,NYC08CA093,1,27,2008,1220,Leonardtown,MD,381855N,0076330W,-1,NONE,1,Pit Bull JD-3
20080306X00274,DEN08LA061,2,23,2008,1730,Buena Vista,CO,384851N,0106715W,CLER,NONE,1,Midget Mustang M-1
20080306X00275,DFW08CA064,2,8,2008,1530,Houston,TX,030325N,0095336W,-1,NONE,2,R22 Beta
20080306X00276,DFW08CA067,2,9,2008,2350,Dallas,TX,033148N,0964833W,-1,NONE,3,PA-28-140
20080306X00278,SEA08CA074,2,10,2008,2000,Red Lodge,MT,451114N,0109162W,SCAT,NONE,1,M-7-235
20080306X00279,SEA08CA076,2,13,2008,2230,Livermore,CA,374136N,1214913W,CLER,NONE,2,182
20080306X00280,ANC08LA035,2,21,2008,2350,Aniak,AK,613454N,1593235W,-1,NONE,5,35A
20080306X00281,ANC08FA037,2,27,2008,2200,Tyonek,AK,061147N,1512355W,FEW,FATL,1,170B
20080307X00284,CHI08CA069,1,22,2008,1930,South St. Paul,MN,445126N,0093158W,CLER,NONE,1,172N
20080310X00289,CHI08CA086,2,23,2008,2130,Lakeville,MN,443740N,0931341W,-1,NONE,1,S-4 Coyote I
20080310X00290,CHI08CA073,2,3,2008,1845,Stockbridge,WI,044148N,0881124W,-1,SERS,1,Pauper II
20080310X00291,CHI08CA087,2,23,2008,2000,Poplar Grove,IL,421922N,0885010W,-1,NONE,2,140
20080310X00292,NYC08LA099,2,13,2008,155,Leesburg,VA,039440N,0773327W,-1,NONE,2,390
20080311X00294,DFW08FA078,3,8,2008,2315,Gun Barrel City,TX,003220N,0096834W,CLER,FATL,2,172M
20080311X00297,DFW08MA076,3,4,2008,2115,Oklahoma City,OK,352820N,0097402W,CLER,FATL,5,500
20080312X00299,MIA08CA037,1,6,2008,1815,Ellsworth,ME,044387N,0683757W,-1,NONE,2,170A
20080312X00300,NYC08CA085,1,19,2008,1900,Arley,AL,034052N,0008778W,SCAT,NONE,2,Sport 2S
20080312X00301,MIA08CA055,2,8,2008,2045,Warm Springs,GA,325614N,0844146W,CLER,MINR,1,Genesis
20080312X00302,MIA08CA042,1,14,2008,518,Atlanta,GA,335232N,0084187W,CLER,NONE,1,PA-32-260
20080312X00303,MIA08CA049,1,30,2008,2105,Jefferson,GA,341019N,0833338W,CLER,SERS,1,Redback
20080312X00304,MIA08CA061,2,16,2008,1830,Fort Pierce,FL,271640N,0080359W,SCAT,MINR,2,SG-3
20080313X00310,SEA08CA081,2,16,2008,30,Duncan Mills,CA,382726N,0012336W,SCAT,MINR,2,AIR CAM
20080313X00311,LAX08CA061,2,17,2008,2030,El Cajon,CA,324934N,1165821W,CLER,NONE,2,PA-22
20080313X00312,LAX08CA062,2,17,2008,2100,Kalispell,MT,481122N,1142248W,CLER,NONE,2,PA-32-300
20080314X00314,ANC08LA040,3,4,2008,2030,Nikolai,AK,062180N,0153190W,OVCT,MINR,2,206L
20080317X00315,DFW08FA080,3,11,2008,123,Abbeville,LA,003025N,0009240W,FEW,FATL,2,T210M
20080317X00316,DFW08LA081,3,9,2008,1747,Ledbetter,TX,301349N,0964538W,-1,FATL,1,RV-10
20080317X00317,DFW08CA059,1,27,2008,1800,Sheffield,TX,030260N,0101490W,CLER,SERS,1,PA-18-150
20080317X00318,SEA08LA089,3,10,2008,1915,Scottsdale,AZ,333722N,1115437W,CLER,NONE,2,CH 2000
20080317X00319,SEA08LA090,3,9,2008,2220,Spanish Fork,UT,040829N,1113940W,FEW,NONE,2,DA 20-C1
20080317X00320,SEA08LA087,3,7,2008,2300,Bishop,CA,372223N,1182149W,CLER,NONE,3,M-4
20080317X00321,CHI08CA088,2,24,2008,2100,Fremont,OH,411959N,0083940W,CLER,NONE,1,KR-2
20080318X00322,MIA08CA072,3,4,2008,1530,Linden,NJ,040371N,0741424W,OVCT,NONE,2,AS350B1
20080318X00324,MIA08CA067,2,25,2008,1850,Venice,FL,027410N,0822615W,CLER,MINR,1,CTO
20080318X00325,MIA08CA057,3,3,2008,1800,Centre,AL,034932N,0085384W,CLER,NONE,1,172N
20080318X00326,MIA08CA050,1,31,2008,2020,Stafford,VA,382353N,0772720W,CLER,NONE,2,Thorpedo T211
20080318X00327,MIA08CA074,3,8,2008,1430,Stuart,FL,271032N,0080139W,SCAT,NONE,2,525B
20080318X00329,DFW08CA072,1,16,2008,1700,Hereford,TX,345128N,1021938W,OVCT,NONE,2,58P
20080319X00330,MIA08LA053,2,7,2008,2315,Chamblee,GA,335219N,0084184W,CLER,NONE,2,C-172RG
20080319X00332,NYC08FA138,3,15,2008,350,Front Royal,VA,385420N,0078198W,-1,FATL,2,SR22
20080319X00333,DEN08LA064,3,12,2008,1740,Santa Fe,NM,035373N,0106537W,CLER,NONE,2,7W
20080319X00334,DEN08LA065,2,9,2008,1715,Telluride,CO,037571N,0107543W,CLER,NONE,1,SHA-Glasair
20080319X00335,DEN08LA066,3,18,2008,1645,Las Vegas,NM,353915N,0105833W,CLER,NONE,2,R22 BETA
20080319X00336,NYC08FA109,2,22,2008,105,Cumberland,MD,393833N,0784154W,-1,FATL,2,A36
20080319X00337,NYC08LA107,2,21,2008,1648,Princeton,NJ,402357N,0743932W,CLER,SERS,2,Vans RV9-A
20080320X00340,MIA08FA080,3,16,2008,925,Wildwood,FL,285350N,0082124W,-1,FATL,2,182B
20080320X00341,NYC08LA124,3,6,2008,2130,West Chester,PA,395925N,0753455W,CLER,NONE,1,112TCA
20080320X00343,DFW08CA077,3,5,2008,1620,San Antonio,TX,292026N,0982819W,CLER,NONE,2,PA-28R-200
20080320X00346,NYC08LA116,3,1,2008,2015,Key West,FL,024310N,0812138W,CLER,NONE,1,DA 20
20080321X00348,NYC08FA139,3,16,2008,1434,Atkins,VA,365559N,0812254W,-1,FATL,2,M20C
20080321X00349,NYC08FA133,3,13,2008,1300,Indiantown,FL,027102N,0080361W,CLER,FATL,4,172
20080321X00352,LAX08LA073,3,11,2008,450,Mercury,NV,036370N,0011610W,CLER,NONE,1,402C
20080321X00353,NYC08CA118,3,2,2008,1643,Lincoln Park,NJ,405631N,0741831W,CLER,NONE,2,172SP
20080321X00354,NYC08CA084,1,5,2008,2210,Brooksville,FL,282824N,0822718W,-1,NONE,2,PA-32R-300
20080321X00355,CHI08CA074,2,5,2008,1920,Ankeny,IA,414129N,0933359W,-1,NONE,1,SA-226AT
20080321X00356,CHI08CA079,2,8,2008,1805,Litchfield,IL,391523N,0893654W,-1,NONE,2,172RG
20080321X00357,NYC08FA134,3,13,2008,1340,Wilmington,NC,034729N,0775354W,CLER,FATL,1,R22 Beta II
20080321X00358,CHI08CA084,2,16,2008,1755,Viroqua,WI,433259N,0905249W,CLER,NONE,1,150G
20080321X00359,NYC08CA089,1,30,2008,1530,Bessemer,AL,332548N,0865926W,-1,NONE,3,210G
20080321X00361,NYC08CA094,1,29,2008,1830,Hollywood,FL,002604N,0801426W,CLER,MINR,2,J3-C65
20080321X00362,NYC08CA098,2,10,2008,1400,Pineland,FL,263612N,0821311W,CLER,NONE,1,23
20080321X00363,NYC08CA095,2,8,2008,1646,New Smyrna Bch.,FL,029320N,0805656W,SCAT,NONE,1,Waiex
20080321X00364,NYC08LA106,2,20,2008,1619,Pahokee,FL,264837N,0803936W,FEW,NONE,1,A36
20080322X00365,NYC08CA103,2,14,2008,1945,Gainesville,FL,294140N,0821630W,CLER,NONE,1,172P
20080322X00366,NYC08CA120,3,2,2008,1855,Dayton,TN,352910N,0845552W,CLER,NONE,1,140
20080322X00367,NYC08CA102,1,31,2008,2015,Meridian,MS,322248N,0884220W,-1,NONE,4,C90-1
20080322X00368,NYC08CA097,2,9,2008,1415,Boone,NC,036121N,0813933W,-1,MINR,1,Eagle II
20080324X00369,MIA08FA081,3,20,2008,2000,Waxhaw,NC,345911N,0804528W,CLER,FATL,1,SR22
20080324X00370,NYC08CA113,2,27,2008,1630,Quincy,FL,303552N,0843326W,CLER,SERS,3,177B
20080324X00372,CHI08CA076,2,6,2008,2100,Grantsburg,WI,045412N,0924114W,CLER,NONE,1,AA-1A
20080324X00373,CHI08CA078,2,8,2008,154,Cahokia,IL,383414N,0090922W,-1,NONE,2,PA-44-180
20080324X00374,SEA08LA067,1,25,2008,2000,Hollister,CA,036540N,0121252W,SCAT,NONE,2,SGS 2-32
20080325X00381,LAX08LA078,3,18,2008,1915,Winslow,AZ,035119N,1104321W,CLER,FATL,1,RV-7A
20080325X00382,LAX08LA077,3,18,2008,1755,Mesa,AZ,332739N,1114342W,CLER,MINR,2,150L
20080325X00383,NYC08CA125,2,19,2008,2345,Halls,TN,355412N,0892350W,CLER,NONE,2,140
20080325X00384,NYC08TA130,3,11,2008,2115,Spartanburg,SC,345457N,0815723W,-1,NONE,1,180
20080325X00385,NYC08LA137,3,13,2008,1920,Middlesboro,KY,363638N,0834414W,SCAT,SERS,1,150F
20080326X00386,ANC08CA036,2,7,2008,1415,Chefornak,AK,060857N,0164178W,CLER,NONE,1,207
20080326X00387,NYC08CA105,2,19,2008,1550,Atlanta,GA,335232N,0084187W,CLER,NONE,2,PA-30
20080326X00388,NYC08CA101,2,15,2008,1800,Greenville,ME,452746N,0069335W,CLER,NONE,1,182K
20080326X00389,ANC08CA034,2,5,2008,1650,McGrath,AK,621736N,1532143W,-1,NONE,1,DHC-2
20080327X00391,ANC08CA043,3,14,2008,0,Chugiak,AK,612459N,1493026W,CLER,MINR,1,108
20080327X00392,ANC08CA041,3,5,2008,1830,Takotna,AK,006300N,0015600W,-1,NONE,3,185
20080328X00396,LAX08LA083,3,22,2008,1630,Genesee,ID,046335N,1165534W,CLER,MINR,1,G-164B
20080328X00397,LAX08LA080,3,20,2008,1726,Portland,OR,453519N,1223627W,SCAT,NONE,1,PA-31-350
20080330X00398,NYC08LA091,2,1,2008,2042,Ft. Lauderdale,FL,261154N,0801048W,SCAT,MINR,3,NA-265-80
20080330X00399,NYC08CA110,2,19,2008,1635,Perry,GA,323036N,0083462W,CLER,NONE,1,172N
20080331X00400,SEA08LA095,3,26,2008,324,Bridger,MT,451126N,1083535W,-1,MINR,1,PA-28-181
20080331X00402,CHI08CA089,3,2,2008,2100,Scribner,NE,413937N,0963939W,-1,NONE,1,PA-22-135
20080331X00403,DFW08CA084,3,13,2008,1215,Back Gate,AR,003400N,0091210W,CLER,NONE,1,AT602
20080401X00405,LAX08CA075,3,14,2008,1700,Marble Canyon,AZ,364839N,1113840W,FEW,NONE,4,C23
20080401X00406,CHI08CA090,3,1,2008,2315,Apple River,IL,042303N,0090521W,CLER,NONE,3,172
20080401X00412,DFW08CA083,3,16,2008,2000,Idabell,OK,335420N,0945120W,CLER,NONE,1,150
20080402X00413,NYC08CA135,3,9,2008,1800,Richmond,VA,373018N,0771910W,CLER,NONE,1,172R
20080402X00414,DEN08LA069,3,29,2008,2254,Elizabeth,CO,039360N,0010460W,CLER,NONE,3,P210N
20080403X00415,SEA08LA100,3,30,2008,0,Buckeye,AZ,332513N,1124110W,CLER,NONE,1,182A
20080403X00416,DFW08LA088,3,30,2008,1430,Questa,NM,364223N,1053535W,CLER,SERS,6,Firefly 9
20080403X00418,SEA08CA091,3,11,2008,1515,Oxnard,CA,341249N,0119539W,CLER,NONE,1,206B
20080403X00419,NYC08FA148,3,25,2008,40,Venice,FL,027442N,0082280W,CLER,FATL,1,PA 28-161
20080403X00421,SEA08CA086,3,5,2008,2100,Jerome,ID,424336N,1142723W,CLER,NONE,3,M-4
20080403X00422,SEA08CA093,3,25,2008,1621,Dayton,WA,461647N,0118732W,-1,MINR,1,G-164A
20080403X00423,SEA08CA088,3,8,2008,2005,Tracy,CA,037400N,0121184W,CLER,NONE,2,7GCAA
20080403X00424,SEA08LA083,2,26,2008,2100,Moab,UT,384518N,1094517W,CLER,NONE,1,180
20080403X00425,SEA08LA101,3,31,2008,1800,Marana,AZ,322434N,0111136W,CLER,MINR,1,KP 5 ASA
20080404X00429,LAX08CA072,3,2,2008,115,Tucson,AZ,322648N,0111010W,CLER,NONE,1,2T-1A-2
20080404X00430,SEA08LA085,3,3,2008,1540,Chandler,AZ,033169N,1114840W,CLER,NONE,2,PA-28-161
20080404X00431,SEA08CA092,3,7,2008,500,Bountiful,UT,040529N,1115537W,CLER,NONE,1,PA-24
20080407X00433,DFW08TA092,4,5,2008,503,Topeka,KS,003949N,0953715W,CLER,NONE,3,R44
20080407X00434,ANC08LA046,4,1,2008,2340,Koliganek,AK,059370N,1573042W,-1,MINR,1,PA-32
20080407X00435,LAX08CA070,2,29,2008,2030,Truckee,CA,391920N,0120837W,SCAT,NONE,1,170B
20080408X00436,MIA08LA083,3,28,2008,1715,DeLand,FL,002941N,0081172W,FEW,NONE,1,Vans RV8
20080408X00438,MIA08LA079,3,15,2008,1831,Fort Lauderdale,FL,261148N,0801012W,SCAT,NONE,4,402B
20080408X00440,NYC08LA112,2,26,2008,2145,Athens,GA,335935N,0083110W,CLER,NONE,2,A36
20080409X00441,NYC08LA150,3,29,2008,1720,Rincon,GA,321428N,0811225W,FEW,SERS,1,Rans S-12
20080409X00442,NYC08LA129,3,9,2008,1840,Belmont,WV,039225N,0811738W,FEW,SERS,1,S-58HT
20080409X00445,MIA08LA086,4,4,2008,14,New York,NY,403823N,0734644W,SCAT,NONE,2,750
20080410X00447,SEA08LA104,4,5,2008,2247,Pahrump,NV,361825N,1155920W,SCAT,NONE,3,R44
20080410X00448,SEA08LA105,4,7,2008,2130,Cheyenne,WY,413255N,1045257W,-1,FATL,1,Glasair III
20080410X00449,LAX08FA092,4,3,2008,229,Benson,AZ,315958N,1102143W,CLER,FATL,2,95-B55
20080410X00450,CHI08CA094,3,26,2008,2040,Traverse City,MI,444429N,0853556W,FEW,NONE,1,182
20080410X00451,CHI08CA098,3,26,2008,401,Waverly,OH,039100N,0825541W,-1,MINR,2,600N
20080410X00452,SEA08CA099,3,29,2008,1305,Prescott,AZ,343927N,1122517W,CLER,NONE,1,35-C33A
20080410X00453,NYC08FA143,3,21,2008,2025,Rome,GA,342034N,0085917W,CLER,FATL,2,BE-76
20080411X00454,DFW08CA079,3,8,2008,2000,Westport,OK,361320N,0962040W,UNK,NONE,2,Rotorway Exec 90
20080411X00455,DFW08LA094,4,7,2008,2050,Paducah,TX,034929N,0100103W,CLER,NONE,2,PA-28-180
20080411X00457,CHI08CA091,3,17,2008,1630,Batavia,OH,039413N,0841045W,SCAT,NONE,1,172R
20080411X00460,NYC08CA108,2,19,2008,2200,Winder,GA,335924N,0834313W,CLER,NONE,1,A-1B
20080411X00461,LAX08CA094,3,20,2008,2130,Riverside,CA,335920N,1172436W,FEW,NONE,1,415-D
20080411X00462,LAX08CA079,3,18,2008,2230,Moab,UT,384518N,1094517W,CLER,NONE,1,180H
20080413X00463,NYC08CA119,3,2,2008,1900,S.Charleston,WV,038206N,0814354W,CLER,NONE,2,182Q
20080413X00464,NYC08CA115,2,23,2008,100,Valdosta,GA,304911N,0831650W,-1,SERS,103,737-700
20080414X00465,DEN08FA072,4,8,2008,1805,Colorado Spring,CO,384820N,0104422W,CLER,NONE,5,CL-600-2B16
20080414X00466,DEN08CA073,4,6,2008,2015,Fort Collins,CO,040276N,0010504W,SCAT,NONE,1,170B
20080414X00467,DEN08LA074,4,11,2008,1517,Beaumont,TX,301222N,0942955W,FEW,SERS,1,AA-5A
20080414X00468,NYC08CA122,2,28,2008,1910,Brookhaven,MS,313621N,0902433W,CLER,NONE,1,B-55
20080414X00469,DFW08LA097,4,10,2008,1400,Taylor,TX,303421N,0972635W,CLER,FATL,2,B200
