EVID,NTSB_NO,Month,Date,Year,Time,City,State,Long,Lat,Sky Condition,Highest Injury,Number of Injuries,Aircraft
20110513X41407,ERA11CA296,5,12,2011,2205,Atlanta,GA,333812N,0842541W,FEW,NONE,298,737-732
20110513X41525,WPR11CA222,5,11,2011,2000,Pleasant Grove,CA,038514N,1213430W,CLER,NONE,1,S2R-T34
20110513X45549,ERA11LA297,5,13,2011,1620,Mobile Block 114CC,-1,301130N,0088130W,FEW,SERS,3,206-L4
20110513X62111,ERA11LA298,5,13,2011,1520,Greenwood,MS,333036N,0901125W,CLER,NONE,1,S2R-T660
20110514X00412,WPR11LA223,5,14,2011,2300,Arlington,WA,048939N,0122932W,-1,FATL,1,Sportcruiser
20110514X05745,CEN11CA336,5,14,2011,1415,Scott,LA,301637N,0092910W,CLER,SERS,1,KB3 GYROPLANE
20110515X15314,CEN11FA337,5,12,2011,2017,New Athens,IL,382034N,0089554W,CLER,FATL,1,OH-58C
20110516X01757,ERA11LA301,5,15,2011,1630,New Kent,VA,373334N,0077023W,SCAT,NONE,1,S-6 COYOTE II
20110516X21316,ANC11TA031,5,16,2011,1018,Atqasuk,AK,702832N,1574420W,CLER,MINR,3,B200
20110516X64902,CEN11LA339,5,16,2011,1805,Victoria,TX,028534N,0965019W,CLER,NONE,4,369E
20110516X73350,WPR11CA224,5,16,2011,2109,Mammoth,AZ,324422N,0110323W,CLER,NONE,2,M7
20110517X04418,CEN11FA340,5,10,2011,2157,Ravenna,OH,411237N,0081156W,UNK,SERS,3,M20R
20110517X13240,WPR11FA225,5,17,2011,2043,Hanalei,HI,022101N,1593935W,CLER,FATL,2,PEGASUS QUIK 912S
20110518X10738,ANC11CA032,5,17,2011,2157,Talkeetna,AK,621914N,0150537W,CLER,NONE,2,A185F
20110518X11314,ANC11CA033,5,17,2011,2315,Wasilla,AK,613733N,1492015W,UNK,MINR,1,PA-12
20110518X14324,CEN11CA343,5,13,2011,1430,Greenfield,IN,395037N,0855349W,CLER,NONE,2,M20J
20110518X25948,CEN11CA344,5,17,2011,1645,Carbondale,IL,374641N,0089157W,SCAT,NONE,2,152
20110518X83028,CEN11CA342,5,17,2011,2330,Spicewood,TX,302824N,0098710W,CLER,MINR,2,8
20110519X02343,DCA11PA075,5,19,2011,27,Point Mugu,CA,034622N,0119751W,SCAT,MINR,3,707-321B
